Snake#,Can#,Flight, Jday ,date,OpenTime,CloseTime,Julian Open Time,Julian Closing Time,Jopen time Progressive,J close time Progressive,Latitude,Longitude,AltP_feet,AltP_meters,Radaralt_ft,Radaralt_m,SARP Year,Weather,Comments,H2 (ppbv)mult by 1.6,CH4 (ppmv),CO (ppbv),CO2_ppm,OCS (MS),DMS (MS),CFC-12 (C/D),CFC-11 (C/D),CFC-113 (D),CFC-114 (C/MS),H-1211 (C/D),H-1301 (C),H-2402 (D),HFC-152a (MS),HFC-134a (MS),HCFC-22 (MS),HCFC-142b,HCFC-141b (MS),HFC-227ea (MS),HCFC-124 (MS),HFC-365mfc (MS),CHCl3 (C/D),CH3CCl3 (C/MS),CCl4 (C/MS),CH2Cl2 (C/D/MS),C2HCl3 (D/MS),C2Cl4 (C/MS),CH3Cl (MS),CH3Br (C/MS),CH3I (C/D),CH2Br2 (D),CHBrCl2 (D),CHBr2Cl (D),CHBr3 (C/MS),"1,2-DCE (MS)",MeONO2 (C/D),EtONO2 (C/D),i-PrONO2 (D),n-PrONO2 (C),2-BuONO2 (D),3-PeONO2 (D),2-PeONO2 (D),3-Methyl-2-BuONO2 (D),Ethane (E),Ethene (E),Ethyne (E),Propane (E/B),Propene (E),i-Butane (E),n-Butane (E),i-Butene (E),1-Butene (E),trans-2-Butene (MS),cis-2-Butene (MS),i-Pentane (E),n-Pentane (E),1-Pentene,Isoprene (E/B),"1,3-Butadiene (B)",n-Hexane (E),n-Heptane (E),n-Octane (B),n-Nonane (B),n-Decane (B),"2,2-Dimethylbutane (B)","2,3-Dimethylbutane (MS)",2-Methylpentane (MS),3-Methylpentane (MS),2-Methylhexane (B),3-Methylhexane (B),"2,3-Dimethylpentane (B)","2,4-Dimethylpentane (B)",2-Methylheptane (B),3-Methylheptane (B),"2,2,4-Trimethylpentane (B)",Cyclopentane (B),Methylcyclopentane (B),Cyclohexane (B),Methylcylohexane (B),Benzene (E/MS),Toluene (B),Ethylbenzene (MS),m-Xylene (MS),p-Xylene (MS),m/p-Xylene (MS),o-Xylene (MS),Styrene (MS),i-Propylbenzene (MS),n-Propylbenzene (MS),3-Ethyltoluene (MS),4-Ethyltoluene (MS),2-Ethyltoluene (MS),"1,3,5-Trimethylbenzene (MS)","1,2,4-Trimethylbenzene (MS)","1,2,3-Trimethylbenzene (MS)",alpha-Pinene (MS),beta-Pinene (MS),EtCl (MS),Acetaldehyde (MS),Butanal (MS),Acetone (MS),Butanone (MS),Methanol (MS),Ethanol (MS),,SARP Year,CH4 (ppmv),,,,,,
4109,9415,1, 174.00 ,6/23/15,1:26:00,1:26:25,174.060,174.060,42178.0597,42178.0600,33.975,-117.151,19352,5900,19352,5900,2015,,,544,1.846,104,409,588,9.10,516,231,70.7,16.57,3.615,3.460,,21.0,101.5,295,24.3,28.0,,2.050,1.430,16.26,3.290,83.00,46.41,0.678,2.620,637,8.73,0.743,1.012,0.475,0.527,2.145,8.656,6.324,3.624,7.048,2.345,5.978,1.559,1.931,2.464,930,99,166,464,8,26,80,,,,,96,42,,23,,12,6,,,,,5,12,9,,,,,,,,,,,,44,52,8,,,15,7,5,,7,7,9,7,7,10,20,,,,1138,91,1799,252,2197,434,,2015,1.845845613,,,4,2.2,5106,997
4124,9352,1, 174.00 ,6/23/15,1:27:00,1:27:25,174.060,174.061,42178.0604,42178.0607,33.954,-117.006,17933,5467,17933,5467,2015,,,518,1.863,86,411,577,4.20,514,233,71.1,16.63,3.696,3.390,,20.0,94.0,288,24.3,27.0,,1.890,1.480,15.89,3.370,83.80,48.58,0.421,1.873,567,7.85,0.546,0.874,0.372,0.365,1.444,8.659,5.407,2.835,6.410,1.932,4.835,1.003,1.277,1.798,887,34,90,384,6,24,33,,,,,26,12,,,,3,3,,,,,,3,,,,,,,,,,,,,25,15,,,,,,,,,,,,,,,,,,889,105,2627,343,3287,454,,2015,1.863053226,,,4,2.2,5111,987
4001,9362,1, 174.00 ,6/23/15,1:30:02,1:30:31,174.063,174.063,42178.0625,42178.0629,33.892,-116.575,13774,4200,13774,4200,2015,,,543,1.864,100,411,596,11.00,519,234,71.0,16.57,3.778,3.340,,31.4,101.4,295,24.7,27.2,,1.690,1.220,17.36,3.370,83.40,54.39,0.485,2.369,589,8.48,0.784,0.986,0.507,0.614,2.269,8.654,6.641,3.511,7.382,2.136,5.224,1.160,1.454,2.341,923,62,120,378,10,22,39,,,,,41,21,,6,,6,4,,,,,,5,4,,,,,,,,,,,,30,54,7,,,11,5,4,3,6,5,6,5,5,9,10,,,,1098,128,2260,217,4046,594,,2015,1.863967948,,,4,2.2,5122,1121
4016,9364,1, 174.00 ,6/23/15,1:31:04,1:31:32,174.063,174.064,42178.0632,42178.0636,33.869,-116.439,13377,4078,13377,4078,2015,,,552,1.868,107,411,577,6.90,525,235,71.7,16.41,3.726,3.460,,23.1,104.0,288,24.0,27.1,,2.040,1.350,18.19,3.350,83.60,47.88,0.584,2.237,585,7.73,0.821,1.042,0.473,0.532,1.993,8.186,6.466,3.634,8.029,2.334,5.524,1.129,1.322,2.068,929,55,119,428,10,19,39,,,,,32,14,,,,4,,,,,,,4,,,,,,,,,,,,,39,127,,,,3,,,,,,,,,,,,,,963,114,2409,273,3106,493,,2015,1.867627012,,,4,2.2,5107,1091
4017,9360,1, 174.00 ,6/23/15,1:32:00,1:32:32,174.064,174.064,42178.0639,42178.0643,33.810,-116.339,13196,4023,13196,4023,2015,,,546,1.834,91,412,614,5.80,524,234,71.3,16.55,3.653,3.380,,24.3,99.5,289,24.7,27.7,,1.990,1.420,17.60,3.380,84.80,49.56,0.361,1.896,597,7.89,0.719,0.984,0.502,0.588,2.121,8.659,6.675,3.276,6.372,1.953,4.341,0.999,1.161,1.624,924,62,110,340,3,21,33,,,,,30,14,,,,3,,,,,,,4,,,,,,,,,,,,,32,221,6,,,8,4,4,,4,4,6,4,5,8,9,,,,805,113,3251,347,4114,438,,2015,1.834225599,,,4,2.2,5110,1093
4002,9378,1, 174.00 ,6/23/15,1:33:01,1:33:34,174.065,174.065,42178.0646,42178.0650,33.741,-116.243,13215,4029,13215,4029,2015,,,541,1.857,82,411,547,4.90,516,230,70.7,16.24,3.652,3.340,,17.7,85.6,262,23.6,25.4,,1.810,1.220,16.13,3.300,82.10,44.94,0.307,1.675,530,7.51,0.577,0.898,0.364,0.368,1.439,8.050,5.452,2.298,4.180,1.031,3.071,0.716,0.728,1.088,774,21,64,188,7,14,23,,,,,15,8,,,,,,,,,,4,,,,,,,,,,,,,,16,130,4,,,4,,5,,,3,,3,4,14,11,,,,882,118,1480,160,1886,218,,2015,1.857180009,,,4,2.2,5123,1121
4015,9382,1, 174.00 ,6/23/15,1:34:01,1:34:30,174.065,174.066,42178.0653,42178.0656,33.654,-116.199,13211,4028,13211,4028,2015,,,542,1.847,76,411,576,1.30,535,238,72.1,16.74,3.772,3.490,,23.6,91.0,285,24.8,26.7,,2.120,1.640,20.43,3.380,84.50,50.82,0.355,1.747,552,8.00,0.397,0.836,0.450,0.445,1.147,9.213,5.013,2.216,4.281,1.100,3.273,0.596,0.759,1.247,816,24,76,218,9,14,22,,,,,27,,,24,,,5,,,,,,4,,,,,,,,,,,,,14,61,,,,,,,,,,,,,,,,,,721,106,1697,203,1535,175,,2015,1.846847493,,,4,2.2,5109,1094
4018,9369,1, 174.00 ,6/23/15,1:35:00,1:35:32,174.066,174.066,42178.0660,42178.0663,33.565,-116.178,13202,4025,13202,4025,2015,,,538,1.827,69,411,584,1.70,529,236,71.8,16.44,3.672,3.470,,29.5,93.7,283,24.4,26.8,,2.300,1.330,18.18,3.330,84.40,52.29,0.319,2.014,556,7.50,0.453,0.809,0.518,0.558,1.279,8.813,5.408,2.329,4.595,0.972,3.420,0.794,0.936,1.555,824,34,87,273,6,21,30,,,,,42,14,,83,,7,4,,,,,,6,5,,,,,,,,,,,,20,106,3,,,4,,,,,,,,,,,,,,603,119,1966,167,3364,379,,2015,1.827357844,,,4,2.2,5124,1106
4003,9368,1, 174.00 ,6/23/15,1:36:00,1:36:34,174.067,174.067,42178.0667,42178.0671,33.516,-116.104,13211,4028,13211,4028,2015,,,532,1.856,83,,556,1.50,522,234,70.8,16.42,3.674,3.370,,26.5,89.7,277,23.6,26.5,,1.660,1.410,18.01,3.330,82.90,54.25,0.447,1.862,530,7.51,0.407,0.825,0.505,0.539,1.417,9.017,5.281,2.237,4.484,1.051,3.384,0.760,0.901,1.502,824,33,78,236,6,16,29,,,,,42,14,,74,,5,7,,,,,,6,4,,,,,,,,,,,,16,149,6,,,6,,,,,,,,,9,6,,,,1030,143,2081,213,2665,346,,2015,1.856184445,,,4,2.2,1101,-2902
4019,9375,1, 174.00 ,6/23/15,1:38:00,1:38:36,174.068,174.068,42178.0681,42178.0685,33.421,-115.962,13251,4040,13251,4040,2015,,,530,1.804,56,409,572,,526,234,72.0,16.62,3.552,3.350,,11.8,80.8,259,24.1,25.4,,2.060,1.400,12.74,3.230,84.40,41.09,0.242,1.177,528,7.00,0.084,0.655,0.173,0.138,0.473,7.522,4.279,1.049,1.098,0.283,0.917,0.200,0.219,0.253,474,7,33,48,3,,5,,,,,,,,13,,,4,,,,,,,,,,,,,,,,,,,6,152,,,,,,,,,,,,,,,,,,642,39,1508,182,1570,244,,2015,1.803989641,,,4,2.2,1116,-2903
4004,9380,1, 174.00 ,6/23/15,1:39:03,1:39:36,174.069,174.069,42178.0688,42178.0692,33.372,-115.892,13252,4040,13252,4040,2015,,,545,1.835,79,409,547,,522,234,71.1,16.24,3.607,3.310,,9.8,77.9,250,23.4,25.7,,1.740,1.350,12.19,3.330,82.60,42.28,0.260,1.135,507,6.90,0.084,0.726,0.179,0.135,0.545,7.304,4.860,1.040,1.087,0.299,0.889,0.227,0.244,0.377,643,176,81,94,49,8,16,,,,,8,4,,,,4,23,,,,,,,,,,,,,,,,,,,39,342,8,,,8,3,,,,,,,3,8,5,,,,939,54,1810,246,1658,303,,2015,1.835006076,,,4,2.2,1117,-2887
4013,9374,1, 174.00 ,6/23/15,1:40:00,1:40:37,174.069,174.070,42178.0694,42178.0699,33.324,-115.825,13252,4040,13252,4040,2015,,,572,1.855,253,411,580,,528,238,71.5,16.81,3.673,3.340,,23.6,90.6,276,24.2,31.9,,1.660,1.390,22.26,3.350,84.70,42.98,0.402,1.712,543,7.37,0.335,0.725,0.332,0.275,0.798,7.379,5.701,1.991,4.169,0.983,3.605,0.908,1.140,1.748,2079,1277,423,553,368,37,95,,,,,48,45,,35,,18,127,,,,9,14,,5,,,,,,,,,,,,265,358,27,,,26,9,4,,,4,,,,4,5,,,,1308,78,2365,178,3738,386,,2015,1.855339992,,,4,2.2,1102,-2911
4020,9383,1, 174.00 ,6/23/15,1:41:00,1:41:38,174.070,174.071,42178.0701,42178.0706,33.275,-115.756,13252,4040,13252,4040,2015,,,549,1.806,150,409,559,,522,233,71.9,16.29,3.574,3.350,,7.8,75.5,251,23.3,24.9,,2.150,1.380,11.30,3.100,84.10,37.24,0.218,0.866,526,7.11,0.054,0.762,0.148,0.098,0.453,5.633,5.428,1.630,1.853,0.732,1.276,0.232,0.230,0.133,1240,38,348,175,13,4,19,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,108,49,,,,,,,,,,,,,,,,,,579,33,1466,228,1675,164,,2015,1.805951856,,,4,2.2,1115,-2905
4005,9366,1, 174.00 ,6/23/15,1:47:01,1:47:37,174.074,174.075,42178.0743,42178.0747,33.063,-115.305,9538,2908,9538,2908,2015,,,535,1.841,78,,842,,516,230,70.6,16.21,3.562,3.360,,8.3,76.1,248,22.8,24.2,,1.400,1.130,10.90,3.070,82.20,39.27,0.262,1.006,519,6.95,0.048,0.672,0.139,0.097,0.423,7.028,4.742,0.894,0.696,0.115,0.459,0.144,0.101,0.090,424,39,36,19,19,,,,,,4,,,,,,,4,,,,,,,8,,,,,,,,,,,,13,97,,,,,,,,,,,,,,,,,,1411,78,1508,212,1187,181,,2015,1.84088126,,,4,2.2,1118,-2887
4012,9370,1, 174.00 ,6/23/15,1:48:12,1:48:45,174.075,174.076,42178.0751,42178.0755,32.990,-115.243,7948,2423,7948,2423,2015,,,556,1.818,90,,553,,529,237,71.7,16.43,3.632,3.450,,8.0,78.2,250,23.7,25.0,,1.730,1.270,18.71,3.130,83.50,32.41,0.199,0.871,515,7.07,0.050,0.732,0.152,0.116,0.351,5.807,5.846,1.217,1.069,0.283,0.759,0.112,0.135,0.116,713,16,200,82,,8,8,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,47,194,,,,,,,,,,,,,,,,,,563,19,1646,133,1780,237,,2015,1.817661332,,,4,2.2,1103,-2909